u,v,y
6,49,1
6,50,0
7,1,1
7,2,0
7,3,1
7,4,1
7,5,2
7,6,0
7,7,0
7,8,1
7,9,2
7,10,1
7,11,1
7,12,1
7,13,1
7,14,1
7,15,1
7,16,1
7,17,1
7,18,1
7,19,1
7,20,1
7,21,2
7,22,0
7,23,1
7,24,2
7,25,1
7,26,0
7,27,2
7,28,1
7,29,1
7,30,0
7,31,2
7,32,1
7,33,2
7,34,1
7,35,0
7,36,1
7,37,1
7,38,1
7,39,1
7,40,0
7,41,1
7,42,1
7,43,0
7,44,0
7,45,1
7,46,1
7,47,1
7,48,1
7,49,2
7,50,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,2
8,13,1
8,14,1
8,15,0
8,16,0
8,17,1
8,18,1
8,19,1
8,20,1
8,21,1
8,22,1
8,23,1
8,24,0
8,25,1
8,26,0
8,27,1
8,28,1
8,29,1
8,30,1
8,31,1
8,32,1
8,33,0
8,34,1
8,35,1
8,36,0
8,37,1
8,38,1
8,39,1
8,40,1
8,41,1
8,42,0
8,43,1
8,44,1
8,45,1
8,46,1
8,47,1
8,48,0
8,49,0
8,50,1
9,1,0
9,2,0
9,3,1
9,4,2
9,5,1
9,6,0
9,7,1
9,8,0
9,9,0
9,10,1
9,11,1
9,12,0
9,13,2
9,14,1
9,15,1
9,16,1
9,17,1
9,18,0
9,19,2
9,20,1
9,21,1
9,22,1
9,23,2
9,24,1
9,25,1
9,26,0
9,27,1
9,28,0
9,29,1
9,30,0
9,31,2
9,32,1
9,33,1
9,34,1
9,35,1
9,36,1
9,37,0
9,38,1
9,39,1
9,40,0
9,41,0
9,42,1
9,43,0
9,44,0
9,45,1
9,46,1
9,47,0
9,48,1
9,49,1
9,50,1
10,1,0
10,2,0
10,3,1
10,4,1
10,5,0
10,6,1
10,7,1
10,8,0
10,9,1
10,10,1
10,11,1
10,12,1
10,13,0
10,14,1
10,15,1
10,16,0
10,17,1
10,18,0
10,19,1
10,20,1
10,21,1
10,22,1
10,23,0
10,24,1
10,25,1
10,26,1
10,27,1
10,28,0
10,29,1
10,30,2
10,31,1
10,32,0
10,33,2
10,34,1
10,35,1
10,36,1
10,37,1
10,38,1
10,39,1
10,40,1
10,41,1
10,42,1
10,43,1
10,44,0
10,45,1
10,46,1
10,47,0
10,48,1
10,49,2
10,50,0
11,1,1
11,2,1
11,3,0
11,4,1
11,5,1
11,6,1
11,7,1
11,8,0
11,9,1
11,10,2
11,11,0
11,12,0
11,13,1
11,14,0
11,15,1
11,16,0
11,17,0
11,18,1
11,19,1
11,20,1
11,21,0
11,22,1
11,23,1
11,24,2
11,25,1
11,26,1
11,27,1
11,28,1
11,29,1
11,30,1
11,31,0
11,32,2
11,33,1
11,34,1
11,35,1
11,36,1
11,37,0
11,38,0
11,39,1
11,40,1
11,41,1
11,42,1
11,43,1
11,44,1
11,45,1
11,46,1
11,47,0
11,48,1
11,49,1
11,50,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
12,11,0
12,12,1
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,0
12,19,1
12,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,25,1
12,26,1
12,27,1
12,28,1
12,29,1
12,30,1
12,31,0
12,32,0
12,33,1
12,34,1
12,35,0
12,36,1
12,37,1
12,38,2
12,39,1
12,40,1
12,41,0
12,42,1
12,43,1
12,44,1
12,45,1
12,46,0
12,47,1
12,48,1
12,49,1
12,50,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,2
13,8,0
13,9,0
13,10,1
13,11,1
13,12,0
13,13,2
13,14,2
13,15,1
13,16,0
13,17,1
13,18,1
13,19,0
13,20,0
13,21,1
13,22,1
13,23,1
13,24,1
13,25,2
13,26,1
13,27,1
13,28,0
13,29,1
13,30,0
13,31,1
13,32,0
13,33,1
13,34,1
13,35,1
13,36,1
13,37,1
13,38,1
13,39,1
13,40,1
13,41,2
13,42,1
13,43,1
13,44,2
13,45,1
13,46,2
13,47,1
13,48,1
13,49,1
13,50,1
14,1,2
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,0
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,2
14,18,1
14,19,2
14,20,0
14,21,2
14,22,1
14,23,2
14,24,2
14,25,1
14,26,1
14,27,1
14,28,0
14,29,1
14,30,1
14,31,1
14,32,1
14,33,1
14,34,1
14,35,0
14,36,1
14,37,2
14,38,1
14,39,2
14,40,1
14,41,2
14,42,1
14,43,1
14,44,1
14,45,1
14,46,1
14,47,1
14,48,1
14,49,0
14,50,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,0
15,11,1
15,12,2
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,1
15,23,1
15,24,2
15,25,1
15,26,1
15,27,1
15,28,1
15,29,2
15,30,1
15,31,1
15,32,1
15,33,1
15,34,2
15,35,2
15,36,1
15,37,1
15,38,1
15,39,0
15,40,1
15,41,1
15,42,1
15,43,1
15,44,1
15,45,0
15,46,1
15,47,1
15,48,1
15,49,1
15,50,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,2
16,6,1
16,7,0
16,8,1
16,9,0
16,10,1
16,11,1
16,12,1
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,18,1
16,19,2
16,20,2
16,21,1
16,22,1
16,23,1
16,24,1
16,25,2
16,26,0
16,27,0
16,28,1
16,29,1
16,30,0
16,31,1
16,32,1
16,33,0
16,34,2
16,35,2
16,36,1
16,37,1
16,38,1
16,39,0
16,40,2
16,41,1
16,42,2
16,43,2
16,44,1
16,45,1
16,46,1
16,47,1
16,48,1
16,49,1
16,50,1
17,1,1
17,2,0
17,3,0
17,4,1
17,5,1
17,6,1
17,7,2
17,8,0
17,9,1
17,10,1
17,11,1
17,12,0
17,13,1
17,14,0
17,15,1
17,16,0
17,17,1
17,18,1
17,19,2
17,20,2
17,21,1
17,22,1
17,23,1
17,24,1
17,25,1
17,26,1
17,27,0
17,28,0
17,29,1
17,30,1
17,31,1
17,32,1
17,33,1
17,34,1
17,35,1
17,36,0
17,37,0
17,38,0
17,39,1
17,40,1
17,41,1
17,42,1
17,43,2
17,44,0
17,45,1
17,46,1
17,47,2
17,48,1
17,49,1
17,50,2
18,1,1
18,2,1
18,3,1
18,4,1
18,5,0
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,2
18,17,0
18,18,1
18,19,1
18,20,2
18,21,1
18,22,0
18,23,1
18,24,0
18,25,1
18,26,1
18,27,1
18,28,2
18,29,1
18,30,0
18,31,1
18,32,1
18,33,1
18,34,1
18,35,0
18,36,1
18,37,1
18,38,1
18,39,1
18,40,1
18,41,1
18,42,0
18,43,1
18,44,1
18,45,0
18,46,1
18,47,1
18,48,1
18,49,0
18,50,0
19,1,1
19,2,1
19,3,1
19,4,2
19,5,0
19,6,1
19,7,1
19,8,1
19,9,1
19,10,0
19,11,1
19,12,1
19,13,1
19,14,0
19,15,1
19,16,1
19,17,1
19,18,0
19,19,0
19,20,2
19,21,1
19,22,1
19,23,1
19,24,1
19,25,0
19,26,1
19,27,2
19,28,1
19,29,0
19,30,1
19,31,2
19,32,1
19,33,1
19,34,1
19,35,0
19,36,1
19,37,1
19,38,1
19,39,2
19,40,2
19,41,1
19,42,2
19,43,1
19,44,0
19,45,1
19,46,1
19,47,1
19,48,1
19,49,1
19,50,2
20,1,1
20,2,0
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,0
20,9,1
20,10,1
20,11,0
20,12,1
20,13,0
20,14,1
20,15,1
20,16,1
20,17,1
20,18,1
20,19,0
20,20,1
20,21,1
20,22,0
20,23,1
20,24,1
20,25,1
20,26,1
20,27,1
20,28,0
20,29,1
20,30,1
20,31,0
20,32,1
20,33,0
20,34,1
20,35,1
20,36,1
20,37,0
20,38,0
20,39,1
20,40,1
20,41,1
20,42,2
20,43,1
20,44,1
20,45,1
20,46,1
20,47,1
20,48,0
20,49,0
20,50,2
21,1,1
21,2,0
21,3,1
21,4,0
21,5,0
21,6,0
21,7,1
21,8,1
21,9,1
21,10,1
21,11,1
21,12,1
21,13,1
21,14,1
21,15,1
21,16,0
21,17,1
21,18,1
21,19,1
21,20,1
21,21,0
21,22,2
21,23,1
21,24,1
21,25,0
21,26,0
21,27,1
21,28,0
21,29,1
21,30,1
21,31,0
21,32,1
21,33,1
21,34,1
21,35,1
21,36,1
21,37,1
21,38,1
21,39,1
21,40,1
21,41,1
21,42,1
21,43,1
21,44,1
21,45,1
21,46,1
21,47,1
21,48,1
21,49,1
21,50,2
22,1,2
22,2,1
22,3,1
22,4,1
22,5,1
22,6,1
22,7,1
22,8,1
22,9,0
22,10,1
22,11,2
22,12,1
22,13,2
22,14,2
22,15,0
22,16,1
22,17,1
22,18,1
22,19,1
22,20,1
22,21,1
22,22,1
22,23,2
22,24,0
22,25,0
22,26,1
22,27,0
22,28,1
22,29,1
22,30,1
22,31,2
22,32,0
22,33,1
22,34,1
22,35,1
22,36,1
22,37,1
22,38,1
22,39,1
22,40,1
22,41,1
22,42,1
22,43,1
22,44,1
22,45,0
22,46,2
22,47,1
22,48,0
22,49,1
22,50,1
23,1,1
23,2,1
23,3,1
23,4,1
23,5,1
23,6,0
23,7,1
23,8,0
23,9,2
23,10,1
23,11,0
23,12,1
23,13,0
23,14,1
23,15,2
23,16,1
23,17,1
23,18,1
23,19,1
23,20,1
23,21,1
23,22,1
23,23,1
23,24,1
23,25,1
23,26,2
23,27,1
23,28,0
23,29,1
23,30,1
23,31,0
23,32,1
23,33,1
23,34,1
23,35,2
23,36,1
23,37,1
23,38,1
23,39,2
23,40,2
23,41,1
23,42,0
23,43,0
23,44,2
23,45,1
23,46,1
23,47,1
23,48,1
23,49,1
23,50,1
24,1,2
24,2,1
24,3,1
24,4,0
24,5,1
24,6,1
24,7,1
24,8,1
24,9,1
24,10,1
24,11,1
24,12,2
24,13,1
24,14,0
24,15,1
24,16,1
24,17,1
24,18,1
24,19,1
24,20,1
24,21,1
24,22,1
24,23,1
24,24,1
24,25,0
24,26,0
24,27,1
24,28,1
24,29,1
24,30,1
24,31,1
24,32,1
24,33,1
24,34,1
24,35,0
24,36,1
24,37,1
24,38,1
24,39,1
24,40,1
24,41,1
24,42,1
24,43,1
24,44,1
24,45,1
24,46,1
24,47,1
24,48,1
24,49,1
24,50,1
25,1,1
25,2,0
25,3,1
25,4,1
25,5,1
25,6,0
25,7,1
25,8,1
25,9,1
25,10,1
25,11,1
25,12,0
25,13,1
25,14,1
25,15,1
25,16,1
25,17,1
25,18,0
25,19,1
25,20,1
25,21,0
25,22,0
25,23,1
25,24,1
25,25,2
25,26,2
25,27,2
25,28,1
25,29,1
25,30,0
25,31,1
25,32,1
25,33,0
25,34,0
25,35,0
25,36,1
25,37,0
25,38,0
25,39,1
25,40,1
25,41,1
25,42,0
25,43,1
25,44,1
25,45,1
25,46,1
25,47,1
25,48,1
25,49,1
25,50,1
26,1,1
26,2,1
26,3,1
26,4,0
26,5,1
26,6,1
26,7,1
26,8,1
26,9,1
26,10,0
26,11,1
26,12,2
26,13,1
26,14,1
26,15,1
26,16,2
26,17,0
26,18,1
26,19,1
26,20,0
26,21,1
26,22,1
26,23,1
26,24,1
26,25,1
26,26,1
26,27,1
26,28,0
26,29,1
26,30,1
26,31,1
26,32,0
26,33,0
26,34,1
26,35,1
26,36,2
26,37,1
26,38,1
26,39,0
26,40,0
26,41,1
26,42,0
26,43,1
26,44,1
26,45,1
26,46,2
26,47,1
26,48,1
26,49,1
26,50,1
27,1,2
27,2,1
27,3,0
27,4,1
27,5,1
27,6,1
27,7,1
27,8,0
27,9,1
27,10,1
27,11,1
27,12,1
27,13,0
27,14,1
27,15,0
27,16,1
27,17,1
27,18,1
27,19,1
27,20,1
27,21,1
27,22,1
27,23,1
27,24,1
27,25,1
27,26,1
27,27,0
27,28,0
27,29,2
27,30,1
27,31,1
27,32,1
27,33,2
27,34,1
27,35,1
27,36,1
27,37,1
27,38,1
27,39,0
27,40,2
27,41,1
27,42,1
27,43,0
27,44,1
27,45,0
27,46,1
27,47,0
27,48,1
27,49,1
27,50,0
28,1,2
28,2,1
28,3,1
28,4,1
28,5,0
28,6,0
28,7,1
28,8,1
28,9,1
28,10,1
28,11,0
28,12,1
28,13,2
28,14,1
28,15,1
28,16,1
28,17,1
28,18,1
28,19,1
28,20,2
28,21,1
28,22,1
28,23,1
28,24,1
28,25,1
28,26,0
28,27,1
28,28,2
28,29,1
28,30,0
28,31,2
28,32,1
28,33,2
28,34,0
28,35,1
28,36,1
28,37,0
28,38,1
28,39,2
28,40,1
28,41,1
28,42,1
28,43,0
28,44,1
28,45,1
28,46,1
28,47,1
28,48,2
28,49,1
28,50,0
29,1,1
29,2,1
29,3,1
29,4,1
29,5,0
29,6,0
29,7,0
29,8,2
29,9,1
29,10,0
29,11,1
29,12,1
29,13,1
29,14,1
29,15,1
29,16,1
29,17,2
29,18,1
29,19,0
29,20,1
29,21,1
29,22,2
29,23,1
29,24,0
29,25,1
29,26,1
29,27,1
29,28,0
29,29,1
29,30,1
29,31,0
29,32,1
29,33,1
29,34,0
29,35,0
29,36,0
29,37,1
29,38,1
29,39,1
29,40,1
29,41,1
29,42,1
29,43,0
29,44,1
29,45,1
29,46,0
29,47,2
29,48,1
29,49,0
29,50,0
30,1,1
30,2,1
30,3,1
30,4,1
30,5,2
30,6,1
30,7,0
30,8,1
30,9,1
30,10,1
30,11,0
30,12,1
30,13,0
30,14,0
30,15,0
30,16,1
30,17,1
30,18,1
30,19,1
30,20,1
30,21,1
30,22,1
30,23,1
30,24,1
30,25,1
30,26,2
30,27,2
30,28,1
30,29,2
30,30,2
30,31,2
30,32,0
30,33,1
30,34,1
30,35,0
30,36,1
30,37,1
30,38,0
30,39,1
30,40,1
30,41,1
30,42,1
30,43,1
30,44,0
30,45,2
30,46,1
30,47,1
30,48,1
30,49,1
30,50,1
31,1,0
31,2,1
31,3,1
31,4,1
31,5,1
31,6,1
31,7,1
31,8,0
31,9,1
31,10,1
31,11,1
31,12,2
31,13,1
31,14,0
31,15,2
31,16,1
31,17,1
31,18,1
31,19,1
31,20,1
31,21,1
31,22,1
31,23,1
31,24,1
31,25,0
31,26,1
31,27,2
31,28,1
31,29,1
31,30,1
31,31,1
31,32,1
31,33,2
31,34,2
31,35,1
31,36,1
31,37,2
31,38,2
31,39,0
31,40,1
31,41,1
31,42,2
31,43,1
31,44,1
31,45,1
31,46,1
31,47,1
31,48,1
31,49,2
31,50,0
32,1,0
32,2,1
32,3,2
32,4,1
32,5,1
32,6,0
32,7,1
32,8,0
32,9,1
32,10,1
32,11,1
32,12,1
32,13,0
32,14,1
32,15,0
32,16,1
32,17,1
32,18,1
32,19,0
32,20,1
32,21,1
32,22,1
32,23,2
32,24,0
32,25,0
32,26,0
32,27,1
32,28,1
32,29,1
32,30,1
32,31,1
32,32,2
32,33,1
32,34,1
32,35,0
32,36,1
32,37,1
32,38,1
32,39,1
32,40,1
32,41,1
32,42,1
32,43,1
32,44,1
32,45,1
32,46,1
32,47,1
32,48,1
32,49,1
32,50,0
33,1,1
33,2,1
33,3,1
33,4,1
33,5,1
33,6,1
33,7,1
33,8,1
33,9,2
33,10,0
33,11,0
33,12,1
33,13,1
33,14,1
33,15,1
33,16,1
33,17,0
33,18,1
33,19,1
33,20,1
33,21,1
33,22,1
33,23,1
33,24,0
33,25,1
33,26,1
33,27,0
33,28,1
33,29,2
33,30,1
33,31,0
33,32,1
33,33,1
33,34,1
33,35,1
33,36,1
33,37,1
33,38,1
33,39,1
33,40,1
33,41,0
33,42,1
33,43,1
33,44,0
33,45,1
33,46,1
33,47,1
33,48,1
33,49,0
33,50,0
34,1,1
34,2,1
34,3,1
34,4,1
34,5,1
34,6,1
34,7,1
34,8,1
34,9,0
34,10,1
34,11,1
34,12,1
34,13,1
34,14,1
34,15,1
34,16,1
34,17,1
34,18,1
34,19,1
34,20,1
34,21,1
34,22,0
34,23,1
34,24,1
34,25,0
34,26,1
34,27,0
34,28,0
34,29,1
34,30,1
34,31,1
34,32,1
34,33,2
34,34,0
34,35,1
34,36,1
34,37,1
34,38,1
34,39,1
34,40,1
34,41,2
34,42,0
34,43,1
34,44,1
34,45,1
34,46,1
34,47,0
34,48,1
34,49,1
34,50,2
35,1,1
35,2,1
35,3,0
35,4,1
35,5,2
35,6,1
35,7,1
35,8,2
35,9,1
35,10,0
35,11,1
35,12,1
35,13,1
35,14,0
35,15,1
35,16,1
35,17,1
35,18,1
35,19,1
35,20,1
35,21,1
35,22,0
35,23,0
35,24,1
35,25,1
35,26,1
35,27,1
35,28,1
35,29,1
35,30,1
35,31,1
35,32,2
35,33,1
35,34,1
35,35,1
35,36,1
35,37,1
35,38,0
35,39,1
35,40,2
35,41,0
35,42,1
35,43,1
35,44,0
35,45,1
35,46,1
35,47,1
35,48,1
35,49,1
35,50,0
36,1,1
36,2,1
36,3,0
36,4,1
36,5,1
36,6,1
36,7,1
36,8,1
36,9,1
36,10,1
36,11,0
36,12,0
36,13,1
36,14,0
36,15,1
36,16,1
36,17,0
36,18,1
36,19,1
36,20,0
36,21,1
36,22,0
36,23,1
36,24,1
36,25,1
36,26,0
36,27,0
36,28,1
36,29,0
36,30,1
36,31,2
36,32,1
36,33,1
36,34,1
36,35,1
36,36,0
36,37,1
36,38,2
36,39,1
36,40,1
36,41,1
36,42,2
36,43,1
36,44,1
36,45,1
36,46,0
36,47,1
36,48,1
36,49,1
36,50,1
37,1,1
37,2,2
37,3,1
37,4,0
37,5,1
37,6,1
37,7,1
37,8,1
37,9,1
37,10,1
37,11,1
37,12,0
37,13,1
37,14,2
37,15,1
37,16,1
37,17,1
37,18,0
37,19,0
37,20,1
37,21,1
37,22,1
37,23,1
37,24,1
37,25,0
37,26,0
37,27,1
37,28,1
37,29,0
37,30,0
37,31,1
37,32,1
37,33,2
37,34,1
37,35,1
37,36,2
37,37,1
37,38,0
37,39,1
37,40,0
37,41,1
37,42,1
37,43,1
37,44,0
37,45,0
37,46,0
37,47,1
37,48,1
37,49,1
37,50,1
38,1,1
38,2,1
38,3,1
38,4,1
38,5,1
38,6,1
38,7,0
38,8,1
38,9,0
38,10,1
38,11,1
38,12,1
38,13,1
38,14,2
38,15,1
38,16,1
38,17,0
38,18,1
38,19,1
38,20,1
38,21,1
38,22,1
38,23,1
38,24,1
38,25,0
38,26,1
38,27,1
38,28,1
38,29,1
38,30,1
38,31,1
38,32,1
38,33,1
38,34,1
38,35,1
38,36,1
38,37,1
38,38,1
38,39,1
38,40,0
38,41,1
38,42,1
38,43,0
38,44,1
38,45,0
38,46,1
38,47,1
38,48,1
38,49,1
38,50,1
39,1,1
39,2,1
39,3,1
39,4,1
39,5,0
39,6,2
39,7,1
39,8,2
39,9,1
39,10,1
39,11,1
39,12,0
39,13,1
39,14,1
39,15,1
39,16,1
39,17,1
39,18,1
39,19,2
39,20,1
39,21,1
39,22,1
39,23,1
39,24,0
39,25,1
39,26,0
39,27,1
39,28,1
39,29,0
39,30,1
39,31,1
39,32,1
39,33,2
39,34,1
39,35,0
39,36,1
39,37,0
39,38,1
39,39,1
39,40,2
39,41,1
39,42,1
39,43,2
39,44,1
39,45,1
39,46,0
39,47,0
39,48,1
39,49,1
39,50,2
40,1,0
40,2,0
40,3,1
40,4,1
40,5,1
40,6,1
40,7,1
40,8,1
40,9,1
40,10,0
40,11,0
40,12,1
40,13,0
40,14,1
40,15,2
40,16,1
40,17,0
40,18,0
40,19,1
40,20,1
40,21,1
40,22,1
40,23,0
40,24,1
40,25,1
40,26,1
40,27,1
40,28,1
40,29,0
40,30,1
40,31,1
40,32,1
40,33,1
40,34,0
40,35,1
40,36,1
40,37,0
40,38,1
40,39,1
40,40,1
40,41,1
40,42,1
40,43,1
40,44,0
40,45,1
40,46,0
40,47,1
40,48,1
40,49,1
40,50,0
41,1,2
41,2,1
41,3,1
41,4,1
41,5,0
41,6,1
41,7,1
41,8,0
41,9,2
41,10,0
41,11,1
41,12,1
41,13,1
41,14,1
41,15,0
41,16,0
41,17,1
41,18,2
41,19,0
41,20,1
41,21,1
41,22,2
41,23,1
41,24,0
41,25,1
41,26,1
41,27,1
41,28,1
41,29,1
41,30,1
41,31,1
41,32,1
41,33,1
41,34,0
41,35,1
41,36,0
41,37,2
41,38,1
41,39,2
41,40,0
41,41,1
41,42,0
41,43,2
41,44,1
41,45,1
41,46,1
41,47,1
41,48,1
41,49,1
41,50,1
42,1,0
42,2,0
42,3,1
42,4,1
42,5,1
42,6,2
42,7,1
42,8,1
42,9,0
42,10,1
42,11,1
42,12,2
42,13,1
42,14,1
42,15,1
42,16,1
42,17,1
42,18,0
42,19,1
42,20,1
42,21,0
42,22,1
42,23,1
42,24,1
42,25,1
42,26,2
42,27,1
42,28,1
42,29,1
42,30,1
42,31,0
42,32,0
42,33,1
42,34,0
42,35,1
42,36,2
42,37,1
42,38,2
42,39,0
42,40,1
42,41,1
42,42,1
42,43,1
42,44,1
42,45,1
42,46,1
42,47,2
42,48,1
42,49,0
42,50,1
43,1,0
43,2,1
43,3,1
43,4,2
43,5,1
43,6,1
43,7,0
43,8,1
43,9,1
43,10,1
43,11,2
43,12,2
43,13,1
43,14,1
43,15,1
43,16,1
43,17,0
43,18,1
43,19,2
43,20,1
43,21,1
43,22,0
43,23,0
43,24,1
43,25,1
43,26,1
43,27,1
43,28,2
43,29,1
43,30,1
43,31,1
43,32,2
43,33,1
43,34,1
43,35,1
43,36,2
43,37,2
43,38,1
43,39,0
43,40,1
43,41,0
43,42,1
43,43,1
43,44,1
43,45,0
43,46,1
43,47,1
43,48,1
43,49,1
43,50,1
44,1,1
44,2,1
44,3,1
44,4,0
44,5,1
44,6,0
44,7,1
44,8,0
44,9,1
44,10,1
44,11,0
44,12,1
44,13,1
44,14,0
44,15,1
44,16,1
44,17,1
44,18,1
44,19,0
44,20,1
44,21,0
44,22,0
44,23,2
44,24,0
44,25,0
44,26,0
44,27,0
44,28,1
44,29,1
44,30,1
44,31,1
44,32,1
44,33,1
44,34,1
44,35,1
44,36,1
44,37,1
44,38,1
44,39,0
44,40,0
44,41,1
44,42,1
44,43,1
44,44,0
44,45,1
44,46,1
44,47,1
44,48,1
44,49,1
44,50,1
45,1,1
45,2,0
45,3,0
45,4,2
45,5,1
45,6,1
45,7,1
45,8,1
45,9,1
45,10,1
45,11,2
45,12,1
45,13,1
45,14,1
45,15,1
45,16,0
45,17,1
45,18,1
45,19,1
45,20,1
45,21,1
45,22,1
45,23,2
45,24,1
45,25,1
45,26,1
45,27,1
45,28,2
45,29,0
45,30,1
45,31,1
45,32,1
45,33,1
45,34,1
45,35,1
45,36,0
45,37,1
45,38,1
45,39,1
45,40,1
45,41,1
45,42,1
45,43,0
45,44,1
45,45,1
45,46,2
45,47,2
45,48,0
45,49,1
45,50,1
46,1,1
46,2,2
46,3,1
46,4,0
46,5,1
46,6,1
46,7,0
46,8,1
46,9,1
46,10,1
46,11,0
46,12,1
46,13,2
46,14,0
46,15,1
46,16,1
46,17,1
46,18,1
46,19,1
46,20,1
46,21,1
46,22,1
46,23,1
46,24,1
46,25,1
46,26,1
46,27,1
46,28,1
46,29,1
46,30,1
46,31,1
46,32,0
46,33,1
46,34,1
46,35,1
46,36,1
46,37,1
46,38,1
46,39,0
46,40,1
46,41,1
46,42,1
46,43,1
46,44,1
46,45,1
46,46,1
46,47,1
46,48,1
46,49,1
46,50,1
47,1,0
47,2,0
47,3,2
47,4,2
47,5,1
47,6,1
47,7,0
47,8,1
47,9,1
47,10,0
47,11,0
47,12,1
47,13,0
47,14,1
47,15,0
47,16,0
47,17,0
47,18,0
47,19,1
47,20,0
47,21,1
47,22,1
47,23,0
47,24,1
47,25,1
47,26,2
47,27,0
47,28,1
47,29,1
47,30,2
47,31,1
