u,v,y
1,1,1
1,2,1
1,3,1
1,4,2
1,5,1
1,6,1
1,7,2
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,0
1,16,0
1,17,0
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,2
1,25,1
1,26,1
1,27,0
1,28,1
1,29,1
1,30,1
1,31,1
1,32,1
1,33,1
1,34,1
1,35,0
1,36,1
1,37,1
1,38,1
1,39,1
1,40,1
1,41,0
1,42,1
1,43,1
1,44,0
1,45,1
1,46,1
1,47,1
1,48,0
1,49,1
1,50,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,0
2,6,1
2,7,0
2,8,1
2,9,0
2,10,1
2,11,1
2,12,0
2,13,1
2,14,1
2,15,1
2,16,2
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,0
2,29,0
2,30,0
2,31,1
2,32,1
2,33,1
2,34,1
2,35,0
2,36,1
2,37,1
2,38,1
2,39,1
2,40,0
2,41,0
2,42,1
2,43,1
2,44,0
2,45,1
2,46,0
2,47,1
2,48,1
2,49,0
2,50,1
3,1,2
3,2,1
3,3,1
3,4,2
3,5,1
3,6,1
3,7,0
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,0
3,14,1
3,15,0
3,16,0
3,17,1
3,18,1
3,19,1
3,20,0
3,21,1
3,22,1
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
3,31,0
3,32,1
3,33,0
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,1
3,41,1
3,42,0
3,43,1
3,44,1
3,45,0
3,46,2
3,47,2
3,48,0
3,49,0
3,50,0
4,1,0
4,2,1
4,3,1
4,4,1
4,5,2
4,6,1
4,7,1
4,8,0
4,9,1
4,10,1
4,11,1
4,12,0
4,13,1
4,14,1
4,15,1
4,16,2
4,17,1
4,18,0
4,19,1
4,20,2
4,21,1
4,22,1
4,23,1
4,24,0
4,25,1
4,26,1
4,27,1
4,28,1
4,29,1
4,30,1
4,31,1
4,32,1
4,33,2
4,34,1
4,35,1
4,36,1
4,37,2
4,38,1
4,39,1
4,40,1
4,41,0
4,42,0
4,43,1
4,44,2
4,45,1
4,46,1
4,47,1
4,48,2
4,49,0
4,50,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,0
5,8,2
5,9,0
5,10,1
5,11,0
5,12,0
5,13,0
5,14,0
5,15,1
5,16,1
5,17,1
5,18,1
5,19,0
5,20,1
5,21,1
5,22,0
5,23,0
5,24,0
5,25,1
5,26,1
5,27,1
5,28,0
5,29,1
5,30,1
5,31,1
5,32,1
5,33,1
5,34,1
5,35,1
5,36,1
5,37,1
5,38,1
5,39,1
5,40,1
5,41,1
5,42,0
5,43,2
5,44,1
5,45,1
5,46,0
5,47,0
5,48,1
5,49,1
5,50,1
6,1,1
6,2,1
6,3,1
6,4,2
6,5,0
6,6,1
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,1
6,13,1
6,14,1
6,15,2
6,16,0
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,22,1
6,23,1
6,24,0
6,25,1
6,26,0
6,27,1
6,28,0
6,29,1
6,30,1
6,31,1
6,32,1
6,33,1
6,34,1
6,35,1
6,36,0
6,37,0
6,38,1
6,39,1
6,40,1
6,41,0
6,42,1
6,43,1
6,44,1
6,45,0
6,46,0
6,47,1
6,48,1
